text,toxicity,dehatebert-mono-english_score
"Yes, MTV there really is a way to market Daria. What started as a clever teenage angst-""comment on everything that sucks and make the viewer feel better about their sucky teenage life"" sitcom now mutated into a ""how you should deal with your problems""-charade. I used to watch Daria all the time and loved it. Now, sitting here after watching the so called ""movie"" I can only wonder what the point of this all was. Daria tells us how to lead out life in college? Excuse me? didn't the point Daria made every episode that what you like to do is ok, as long as it is ok with yourself no matter what the rest of the sick sad world thinks of it? This entire thing reminded me of the scene in ""Reality Bites"" the movie channel shows the documentry for the first time.",0.13943108916282654,0.8062841296195984
"The story of the bride fair is an amusing and engaging one, and it is to the filmmaker's credit that he sets out to portray rural Minnesotans with the same respect ordinarily reserved for Coast-dwellers. It is weird, though, to find an independent movie, the brainchild of a single person, that is as unambitious and cliché-ridden as a committee-brewed Hollywood potboiler.<br /><br />The portrait of rural people is intended to be affectionate, I think, but these characters don't ring true to me--I have had quite a few meals in small-town diners, but never overheard a debate on the merits of different nineteenth-century English novelists. One might suggest that writer/director Semans has no more experience with rural culture than the Coen brothers, and considerably less satiric verve.",0.0007333265384659171,0.9471464157104492
"A team varied between Scully and Mulder, two other scientists, a pilot, and the guy who plays Bana on Seinfeld, go up to an Arctic research post where all members have died off by either killing each other or killing themselves. They discover there's a worm- a virus- that is parasitic to the point of madness and death. The problem is, after a certain dog lashes out, anyone could be infected, but who? This is not just my favorite episode of season 1, but also one of my favorites from the show. The Arctic environment encloses the characters and, of course like Carpenter's the Thing, it's a lot of fun watching these even-tempered characters suddenly start to flip out in dramatic scenes. And the visual effects of the worm and its effects under the skin are cheesy, I didn't mind them at all. The drama between the characters ends up working more than it would usually because of the tension and because all of the actors (including the Bana guy) understand what's going on in the story. And, as usual, I loved the ambiguity of the ending. Highly recommended.",0.0009493537363596261,0.9596472978591919
"This was a popular movie probably because of the humor in it, the fast-moving story, an underdog character who shuts up all the loudmouths, etc. Funny thing is, you probably couldn't make a movie with this title if you substituted anybody but ""white"" as anything else would be deemed racist by the PC police. <br /><br />Nonetheless, Woody Harrleson as the white guy who turns out to be as good if not better than any of the black basketball players, is interesting as is his main counterpart Wesley Snipes.<br /><br />Snipes had a lot of funny put-down lines, providing much of the humor. The bad part of the film - which doesn't bother a lot of people - is the extreme profanity in here and the sleaziness of all the characters. That includes Woody's girlfriend, played by Rosie Perez. There are no really clean, nice people in this movie. For that reason, I can't honestly recommend the film, at least not to friends or those who are offended by a lotof profanity",0.005812564864754677,0.8887239694595337
"This movie made me so angry!! Here I am thinking that here's a new horror movie, one w/a sense of intelligence & then the movie starts. The scenery, the delivery of lines, the costumes, the fake gore, must I go on? There are porno movies out with better dialog than this. I understand the concept behind indie movies, but my goodness, this wasn't just indie this was a high school book report shot w/a camcorder & the cast are all friends & relatives. This is 1 movie that was doomed from its beginning. Maybe if it was 1982 instead of the new millennium this movie could fly. But it seems to me that someone hung a rock around this albatross's neck & it was sinking at a constant rate of speed.",0.0145738385617733,0.9247629642486572
"To call this film a complete waste of celluloid would be an understatement.<br /><br />The acting was unconvincing to say the least, especially from actor Craig Fong, who couldn't have acted stiffer. As far as story goes...well...what story?! The ""film"" is nominally about Harry Lee, a Malaysian of Chinese descent who comes back to his home country after flunking out of every course he took and tries to start a band.<br /><br />The film has ever cliche you can think of -- sex, tension among band members and a little bit of racial tension thrown in.<br /><br />The problem is that even with a subject that's been covered adequately by even the most amateurish directors, this movie is all over the place and the whole thing just feels contrived with parts that would make even the most hardened reviewers' hairs stand on end.<br /><br />",0.04851900413632393,0.9125898480415344
"I will stat of with the plot Alice, having survived the previous instalment of the Nightmare series, finds the deadly dreams of Freddy Krueger starting once again. This time, the taunting murderer is striking through the sleeping mind of Alice's unborn child. His intention is to be ""born again"" into the real world. The only one who can stop Freddy is his dead mother, but can Alice free her spirit in time to save her own son? This movie did start of really well as we see Alice dreaming of being Amanda Kruger who get stuck in room and get raped by 100 Manics then she being rushed to hospital but then she not longer the pregnant lady but then she Amanda giving birth to Freddy again.<br /><br />Alice and Dan are the only two people to return from the 4th movie and then have gotten some new Friends its' no long before Freddy start to kill again, I did like the first dead it okay, not as good as the other deaths or dreams.<br /><br />Freddy himself didn't seem to be Scary in this movie at all, the nightmare were just boring really they were not scary or creepy at all.<br /><br />Acting in movies was okay for a 5th movie in the series but overall I think this movie was really Dull. (Still not worst movie of the series, Freddy Dead is the worst)<br /><br />4/10",0.006326193455606699,0.8113721609115601
"This movie is really wack. There is really nothing nice I can say about it, besides the moral truth expressed in the film's climax concerning people in the neighborhood participating in the fight against crime. Besides all that, the film had nothing: no good shots, no good acting, and no good script. I give this film a F and a 2 out 10.",0.0026217878330498934,0.9601632952690125
"There is a uk edition to this show which is rather less extravagant than the US version. The person concerned will get a new kitchen or perhaps bedroom and bathroom and is wonderfully grateful for what they have got. The US version of this show is everything that reality TV shouldn't be. Instead of making a few improvements to a house which the occupants could not afford or do themselves the entire house gets rebuilt. I do not know if this show is trying to show what a lousy welfare system exists in the US or if you beg hard enough you will receive. The rather vulgar product placement that takes place, particularly by Sears, is also uncalled for. Rsther than turning one family in a deprived area into potential millionaires, it would be far better to help the community as a whole where instead of spending the hundreds of thousands of dollars on one home, build something for the whole community ..... perhaps a place where diy and power tools can be borrowed and returned along with building materials so that everyone can benefit should they want to. Giving it all to one person can cause enormous resentment among the rest of the local community who still live in the same run down houses.",0.0008733185823075473,0.8787103295326233
"Movies about U.F.O.'s are always a nice way to kill some time, so on a rainy Sunday evening I picked up this flick, expecting what can be expected from a direct-to-DVD U.F.O. mystery.<br /><br />Boy, was I wrong! At about halfway in the movie it becomes very apparent that the U.F.O. theme is just a deceptive way of attracting unsuspecting viewers to this Christian propaganda. And this is not just a Christan movie from an average Christian. No, this is Christianity of the extremist fundamentalist kind. The scary kind.<br /><br />In the end of this movie, the non-believing lead is tricked by their colleagues using a practical joke in thinking that the Rapture has started (which is believed by Christians to be the happening in the end of time where true believers are going to heaven and non-believers are left behind).<br /><br />When the joke is explained, it is suggested that it is always better to become a true believer, 'just in case we Christians are right'. Now that's a lamest excuse ever to become a Christian if you ask me!<br /><br />This movie still tries to convert non-believers using scare tactics. ""Believe in God or you will go to Hell!"" is the message here. Simple, but quite offensive, really. Especially because this movie is being sold as something completely different.<br /><br />Now let's assume you're a Christian fundamentalist yourself and you're not likely to be offended by the themes in this movie, is this a good movie? I'm afraid it isn't. No actually I'm lying: I'm GLAD it isn't! The acting is horrible, the pacing is horrible, the plot is horrible, especially the ending is laughably bad. As soon as the movie starts, you immediately sense that this is going to be worse than you expected, and you will be right.<br /><br />In the first half hour, it seems to at least attempt to set up a passable U.F.O. mystery, but then suddenly they bring in this Count Dracula look-alike that starts babbling about the devil. At first you just think this dude is just a crazy maniac, but as it turns out, he actually represents the real views of the makers of this movie. As soon as you start realizing this, you know how this is going to end up. But actually it ends up worse.<br /><br />Avoid.",0.11984046548604965,0.7729820013046265
